journal,url,type
Q98517082,http://lxxb.cstam.org.cn/CN/article/showOldVolumn.do,1
Q21386079,http://www.insect.org.cn/CN/article/showOldVolumn.do,1
Q98507587,http://qxxb.ijournals.cn/qxxb_cn/ch/reader/issue_browser.aspx,2
Q98518725,http://hkxb.buaa.edu.cn/CN/article/showOldVolumn.do,1
Q96334447,http://www.ejournal.org.cn/CN/article/showOldVolumn.do,3
Q106341995,http://dzgcxb.ijournals.cn/ch/reader/issue_browser.aspx,2
Q63718168,http://www.cjstp.cn/CN/article/showOldVolumn.do,1
Q15758342,http://www.geophy.cn/CN/article/showOldVolumn.do,3
Q27724264,http://pedologica.issas.ac.cn/trxb/ch/reader/issue_browser.aspx,2
